Admin Panel,管理面板
Blog,博客
Comments,评论
Dashboard,信息面板
Deleted,已删除
Draft,草稿
File,文件
File Management,文件管理
File Upload,文件上传
Keyword,关键词
Logout,登出
Order,排序
Page Categories,文章分类
Page Tags,文章标签
Pages,文章页面
Password,密码
Pending,审核中
Private,私有
Public,公共
Published,已发布
Re-Order,重新排序
Status,状态
View Website,访问网站
Login,登录
User Name,用户名
Admin Login,管理员登录
